,srprec_orig,hh_med_inc_wgt
313,14228,79792.41
314,14229,91627.0
315,14234,91627.0
316,14236,75491.45
317,14239,54824.0
318,14247,80208.0
319,14249,53185.0
320,14250,58448.4
321,14251,82296.8
322,14252,64698.0
323,14257,64698.0
324,14274,127617.0
325,14275,74063.0
326,14277,99732.0
327,14278,86176.0
328,14282,56863.0
329,14285,42020.0
330,14291,80505.0
331,14293,63750.0
332,14298,51667.0
333,14308,69692.26
334,14317,64698.0
335,14701,50348.81
336,14702,66009.45999999999
337,14703,66580.98
338,14704,62053.18
339,14705,61212.5
340,14706,54824.0
341,14707,60475.66
342,14708,60866.94
343,14709,53185.0
344,14710,66393.98
345,16101,50417.0
346,16106,61895.0
347,16109,42020.0
348,17251,85038.0
349,17255,63280.780000000006
350,17258,62997.77
351,17260,77377.75
352,17261,73969.04
353,17263,97157.0
354,17269,82941.0
355,17271,126272.0
356,17274,77116.88
357,17278,89914.35
358,17279,74146.34
359,17281,63542.0
360,17286,72376.58
361,17290,88205.0
362,17294,100972.0
363,17334,95764.0
364,17335,95764.0
365,17345,63399.28
366,17348,95764.0
367,17355,74715.75
368,21369,52698.28999999999
369,21375,55809.0
370,21376,66250.0
371,21377,55864.33
372,21380,59534.0
373,21383,42020.0
374,22166,96322.0
375,23150,84357.0
376,23152,59925.979999999996
377,23153,96389.0
378,23154,96389.0
380,23156,96389.0
381,23162,113544.91
382,23163,115085.0
383,23164,110673.31999999999
384,23165,84357.0
385,23169,106452.01
386,23174,111937.32999999999
387,23177,61566.77
388,23178,110649.28
389,23180,130184.24
390,23188,104879.0
391,23189,84357.0
392,23193,55937.740000000005
393,23194,116571.04999999999
394,23196,115358.89
395,23206,54814.939999999995
396,23207,120260.0
397,23213,44221.15
398,23214,120260.0
399,23216,93512.0
400,23217,57581.01
401,23221,115703.0
402,23223,93512.0
403,23224,120260.0
404,23225,44136.0
405,23227,107689.47
406,23230,108960.43
407,23701,84773.39
408,23702,112864.94
409,23703,84357.0
410,25230,79295.41
411,25231,45428.78
412,25234,39814.55
413,25237,42795.0
414,25282,42373.68
415,25371,47379.0
416,25377,45116.45
417,25382,87218.0
418,25385,41267.48
419,25391,54421.979999999996
420,26193,115085.0
421,26198,84357.0
422,27113,53618.0
423,27115,73756.6
424,27117,52448.67
425,27135,61895.0
426,27136,55744.0
427,27138,72611.0
428,27139,50714.0
429,27140,61895.0
430,27141,42020.0
431,27145,61895.0
432,27147,60529.07
433,27149,50714.0
434,27155,56863.0
435,27156,56198.42
436,27159,57140.97
437,27161,50931.060000000005
438,27162,77977.20999999999
439,27163,59714.73
440,27164,50714.0
441,27168,50714.0
442,27170,74665.0
443,27701,51198.270000000004
444,28200,105798.0
445,28247,105139.0
446,29277,131118.0
447,29279,140029.9
448,29285,150972.0
449,29286,127308.4
450,29289,131118.0
451,29292,144607.46
452,29293,120260.0
453,29294,105508.8
454,29295,128824.95000000001
455,29297,103499.64000000001
456,29299,74301.0
457,29300,74301.0
458,29304,89874.16
459,29308,134861.0
460,29311,105923.1
461,29313,176591.0
462,29314,176591.0
463,29316,125887.0
464,29345,144112.0
465,29346,126707.19
466,29347,141703.58000000002
467,29349,144112.0
468,29356,158041.0
469,29359,128855.69
470,29361,120260.0
471,29362,143874.19
472,29363,106279.62000000001
473,29364,170885.0
474,29365,139806.62
475,29370,164527.22
476,29371,125887.0
477,31002,126215.0
478,31004,65408.0
479,31005,65408.0
480,31009,93154.12
481,31010,101875.0
482,31013,66021.18
483,31014,87026.0
484,31016,104776.20999999999
485,31017,91762.6
486,31201,97444.0
487,31210,44842.0
488,31213,87026.0
489,31214,95735.0
490,31216,97410.76
491,31218,78748.44
492,31223,96439.62
493,31224,115017.31999999999
494,31225,79832.72
495,31241,73714.0
496,31242,77102.57
497,31246,57774.0
498,31247,66530.97
499,31248,70338.65000000001
500,32100,92450.0
501,32101,88919.0
502,32102,120787.0
503,32103,80847.22
504,32106,79554.0
505,32109,79554.0
506,32111,148245.0
507,32112,148245.0
508,32137,65145.0
509,32142,86256.73000000001
510,32143,77829.0
511,32145,148245.0
512,32146,110109.0
513,32157,120787.0
514,32160,82632.23000000001
515,32171,86974.0
516,32178,66696.82
517,32179,104833.93000000001
518,32180,104671.0
519,32184,120171.62
520,32188,98154.51000000001
521,32190,98097.08
522,32193,87678.66
523,32195,101300.0
524,32196,92602.0
525,32200,103524.82
526,32205,91258.95
527,32208,140083.0
528,32210,148245.0
529,32211,148245.0
530,32212,88672.98999999999
531,32232,111749.15
532,32265,82555.14
533,32266,86078.98999999999
534,32267,113455.01
535,32269,130921.93
536,32270,93989.68
537,32280,78198.0
538,32282,93751.58
539,32287,112375.0
540,32295,78198.0
541,32300,60903.0
542,32302,96484.95
543,32303,100450.0
544,32305,100547.14
545,32306,148245.0
546,32307,77371.62
547,32308,89198.78
548,32309,107991.0
549,32312,103126.06
550,32319,92107.0
551,32320,92107.0
552,32335,68825.22
553,32337,81261.87
554,32338,89146.01999999999
555,32345,128056.0
556,32347,116833.0
557,32349,128489.48
558,32355,116833.0
559,32358,82833.0
560,32362,74162.78
561,32365,112375.0
562,32366,107364.66
563,32367,107656.0
564,32368,104671.0
565,32369,125750.0
566,32370,60194.130000000005
567,32376,100291.67
568,32379,102989.0
569,32388,92107.0
570,32393,88533.29000000001
571,32395,75085.0
572,32397,65401.2
573,32400,120787.0
574,32401,116833.0
575,32402,78198.0
576,32403,78198.0
577,32404,100000.6
578,32408,66238.0
579,32412,124099.02
580,32701,72427.01
581,32702,64641.57000000001
582,33117,130685.0
583,33118,85989.38
584,33122,82794.86
585,33123,84500.0
586,33126,130685.0
587,33128,62596.15
588,33134,130685.0
589,34091,60903.0
590,34092,60903.0
591,34093,60903.0
592,34095,83125.0
593,34097,53869.0
594,34098,60903.0
595,34337,53869.0
596,35125,124009.48999999999
597,35129,107656.0
598,35134,120185.18000000001
599,35140,124750.0
600,36003,36071.0
601,36007,35683.55
602,36008,36071.0
603,36105,123750.0
604,36264,96004.0
605,36265,96652.93
606,36266,101250.0
607,36268,120595.0
608,36279,120087.93
609,36317,123750.0
610,36318,120595.0
611,36320,107656.0
612,36329,123753.21
613,36339,101250.0
614,36340,127889.22
615,36346,88661.0
616,36347,88661.0
617,38082,115230.0
618,38083,117391.0
619,38084,115230.0
620,38301,41109.0
621,38302,100478.32
622,38305,108832.0
623,38310,171316.0
624,38312,80926.0
625,38317,201777.1
626,38375,117391.0
627,38378,115230.0
628,38380,115230.0
629,38701,43857.09
630,38702,188380.03
631,38703,117391.0
632,38704,83781.07
633,39201,60903.0
634,39204,72687.09
635,39206,60674.87
636,39207,79583.0
637,39208,53823.05
638,39217,123929.0
639,39219,33065.0
640,39220,41648.5
641,39221,123929.0
642,39222,53333.0
643,39223,48506.66
644,39233,53185.0
645,39234,53834.53
646,39239,33608.0
647,39243,53869.0
648,39274,83125.0
649,39275,82806.76000000001
650,39317,67150.0
651,39335,33792.38
652,39341,53869.0
653,39344,53333.0
654,39346,106123.83
655,39350,70694.0
656,39361,44842.0
657,39364,65145.0
658,39369,64509.020000000004
659,39373,62114.0
660,39375,104671.0
661,39376,67150.0
662,39378,66748.52
663,41119,161710.62
664,41121,115245.66
665,41122,102315.28
666,41124,105313.29000000001
667,41154,83582.38
668,41155,82384.0
669,41156,82384.0
670,41158,82384.0
671,41161,126058.0
672,41289,128068.0
673,41291,116251.1
674,41292,108725.62999999999
675,41293,128068.0
676,41294,72130.0
677,41298,137793.0
678,41302,115260.0
679,41304,64146.0
680,41305,64146.0
681,41306,82384.0
682,41313,86867.0
683,41375,115260.0
684,41378,114969.45000000001
685,41379,137793.0
686,43132,137538.0
687,44111,165938.0
688,44113,165344.96
689,44116,152745.21000000002
690,44123,86867.0
691,44125,123096.18
692,44126,80931.0
693,44130,161675.97
694,44138,98445.20000000001
695,44140,171384.0
696,44142,123895.70999999999
697,44144,86607.47
698,44145,113004.88
699,44156,137538.0
700,44321,165938.0
701,45102,123633.64
702,45104,101521.49
703,45105,102148.11
704,45109,125202.26
705,45115,84839.0
706,45116,107657.25
707,45117,100362.15
708,45120,118000.0
709,45121,107001.14000000001
710,45123,94472.75
711,45129,108750.0
712,45131,166410.0
713,45239,129227.27
714,45240,130054.0
715,45352,80926.0
716,45353,81043.51000000001
717,45371,87218.0
718,45701,166410.0
719,47201,117019.0
720,47203,117019.0
721,47204,117019.0
722,47247,147699.0
723,47248,147699.0
724,47251,120000.0
725,47252,138075.0
726,47253,138075.0
727,47256,166848.0
728,47258,101831.58
729,47259,105500.0
730,47260,126328.0
731,47262,135882.0
732,47265,134983.33
733,47267,131146.61
734,47268,108911.45999999999
735,47271,110588.0
736,47276,128645.81
737,47278,132946.0
738,47279,115841.0
739,47283,110438.0
740,47284,94283.82999999999
741,47285,69718.0
742,47287,117371.16
743,47288,107643.23999999999
744,47289,97202.0
745,47290,97202.0
746,47293,132016.21
747,47294,140204.18
748,47295,141786.0
749,47301,105201.15
750,47305,139656.72999999998
751,47316,97683.77
752,47332,83575.0
753,47336,91864.31
754,47339,126328.0
755,47344,135632.0
756,47346,135632.0
757,47351,83575.0
758,47352,83575.0
759,47353,83575.0
760,47701,120395.0
761,48141,92188.42
762,48142,86912.22
763,48143,78860.47
764,48147,109218.98000000001
765,48148,122944.95999999999
766,48151,105967.49
767,48152,69435.0
768,48155,150429.0
769,48156,82583.0
770,48157,147133.95
771,48161,84375.0
772,48165,161406.0
773,48166,82583.0
774,48167,141387.12000000002
775,48169,144991.47
776,48171,161406.0
777,48173,161406.0
778,48175,161406.0
779,48239,89400.95000000001
780,48240,109205.0
781,48241,94474.0
782,48245,82384.0
783,48249,67353.09
784,48250,84332.40000000001
785,48252,126058.0
786,48256,129228.65
787,48257,126058.0
788,48258,126058.0
789,49112,154821.0
790,49114,123196.78
791,49116,154821.0
792,49118,161406.0
