"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g12","V","0002001","384","180","138","8","2","1","1","0","1","1","52","174","210","99","23","31","4","5","4","0","0","0","2","0","0","0","0","0","0","4","0","0","0","1","0","0","0","1","3","0","0","4","2","0","0","0","10","11","4","10","14","30","0","14","18","7","16","16","30","0","2","3","4","6","13","32","0","2","5","4","8","18","41","0","8","2","1","3","5","6","0","13","2","1","3","5","3","0","3","0","0","3","1","3","0","1","0","0","0","1","2","42","35","35","16","9","4","10","3","26","20","17","11","20","16","6","14","4","30","25","8","7","3","3","1","2","0","3","7","2","2","0","0","0","0","1","2"
"g12","V","0002002","100","54","21","1","0","1","0","1","0","0","22","49","51","43","5","11","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","3","0","0","0","0","0","0","0","2","6","3","7","3","2","0","10","1","5","6","3","6","0","0","2","1","5","2","2","0","0","2","5","2","0","0","0","7","0","1","4","1","1","0","3","1","1","0","3","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","17","11","13","1","5","1","3","0","3","6","5","2","3","2","1","0","0","2","15","2","4","0","0","0","0","0","1","2","0","0","0","0","1","0","0","0"
"g12","V","0002003","474","161","201","20","0","0","0","0","2","0","90","173","301","40","11","20","1","18","9","3","0","2","1","2","0","0","1","0","0","0","2","3","0","0","0","0","0","0","2","0","0","0","0","0","1","0","6","3","5","10","9","25","0","6","15","4","12","10","56","0","3","4","4","10","9","47","0","1","6","5","9","12","91","0","3","3","6","5","3","12","0","4","9","8","6","8","23","0","1","0","2","1","0","2","0","1","0","0","1","2","12","44","27","23","8","16","7","8","9","19","35","29","29","21","18","15","6","2","46","34","15","14","6","5","3","5","5","3","5","9","4","0","2","1","1","0","0"
"g12","V","0002007","584","243","201","9","2","3","0","0","3","0","123","297","287","102","33","35","4","9","13","0","1","2","0","4","1","0","4","0","0","2","0","1","1","10","0","6","1","18","29","16","1","9","5","6","0","0","10","19","26","22","17","30","0","11","21","17","23","27","20","0","4","12","8","19","25","27","0","13","8","12","17","23","33","0","13","10","11","12","16","7","0","14","7","10","9","7","7","0","1","1","2","2","3","0","0","3","1","0","2","2","0","58","20","42","25","21","13","18","8","38","33","20","23","16","31","7","10","5","56","29","17","24","11","19","5","5","2","11","13","0","1","2","0","0","0","0","1"
"g12","V","0002008","643","321","160","12","2","1","4","0","5","0","138","303","340","172","40","64","3","2","0","3","2","3","2","3","0","0","0","1","0","1","1","0","0","8","2","1","1","5","5","2","0","10","5","2","0","0","19","31","19","24","25","13","0","38","45","26","40","23","18","0","8","11","17","17","15","18","0","9","14","9","16","15","11","0","7","18","13","11","10","11","0","14","10","15","15","10","4","0","5","5","2","2","2","0","0","4","1","0","1","0","2","114","54","66","23","17","8","9","9","21","39","19","19","29","14","6","2","5","27","50","24","28","9","9","4","3","0","11","10","7","3","2","1","0","0","1","0"
"g12","V","0002009","216","92","50","9","2","1","3","0","1","0","58","103","113","27","5","18","4","1","2","1","0","1","0","2","0","0","0","1","0","1","0","1","0","2","1","1","0","0","2","6","0","1","1","2","0","0","4","7","10","11","5","6","0","9","8","4","7","16","5","0","4","6","2","4","5","3","0","0","6","2","8","7","3","0","7","6","4","2","5","2","0","8","8","5","5","4","2","0","0","4","1","0","5","0","0","1","1","0","2","1","1","45","14","9","6","6","3","2","2","5","12","6","6","4","4","1","6","3","8","20","13","14","2","2","2","0","2","3","7","3","4","0","2","0","0","0","0"
"g12","V","0002011","746","216","373","15","2","2","4","1","2","0","131","376","370","54","47","20","6","9","11","2","0","2","4","1","0","5","6","1","0","2","1","4","1","10","3","9","0","12","13","8","0","0","5","1","0","0","9","11","12","19","23","20","0","6","19","21","24","33","19","0","17","20","30","43","44","35","0","10","22","38","41","43","30","0","7","14","19","15","10","9","0","7","6","16","15","6","7","0","4","3","5","2","2","3","0","0","4","1","1","0","1","32","13","37","12","26","12","15","10","59","39","31","38","31","68","21","27","12","106","20","14","20","12","29","5","8","0","23","4","6","3","2","2","1","4","0","4"
"g12","V","0002012","657","326","165","18","0","1","1","0","0","0","146","292","365","133","29","47","4","1","7","1","1","23","21","14","0","1","0","0","0","3","3","6","0","18","4","1","0","6","11","9","0","7","3","6","1","0","10","8","25","33","13","46","0","14","31","28","30","19","69","0","4","6","10","11","13","31","0","7","11","7","15","13","37","0","6","10","16","9","6","25","0","6","15","15","9","7","22","0","2","0","1","3","2","2","0","3","0","0","2","2","3","75","63","65","23","30","16","23","6","25","43","22","18","17","22","6","7","2","28","46","28","28","13","17","4","3","1","6","11","1","2","3","1","0","0","1","1"
"g12","V","0002015","311","136","105","3","0","1","4","0","2","0","60","145","166","62","16","14","0","0","1","1","0","1","0","1","0","0","0","0","0","3","3","6","1","1","1","0","0","4","6","3","0","7","0","1","0","0","8","4","8","11","6","14","0","8","13","10","21","10","23","0","4","4","8","9","13","12","0","2","8","8","14","8","15","0","6","7","7","9","6","4","0","4","3","5","2","3","4","0","1","1","0","2","1","0","0","1","2","0","1","1","0","31","12","26","16","8","9","9","3","22","15","7","6","11","7","3","10","6","40","14","7","9","5","7","3","5","1","9","4","2","2","0","1","1","0","0","0"
"g12","V","0002016","570","183","233","20","1","2","5","0","7","0","119","264","306","49","35","32","11","8","13","4","1","1","1","2","1","1","0","0","0","0","1","0","0","0","1","2","0","1","0","1","0","4","3","0","0","0","7","15","16","17","18","8","0","10","21","18","19","21","13","0","10","21","28","23","19","9","0","2","41","15","25","29","11","0","6","19","16","9","6","3","0","7","18","20","7","7","1","0","3","3","1","1","5","1","0","2","9","3","5","1","1","54","29","34","8","19","5","7","4","23","58","27","32","18","46","8","13","2","29","38","15","20","8","15","3","6","1","13","12","7","6","2","1","0","2","3","2"
